API WELL  NUMBER,Production Year,OWNER NAME,COUNTY,TOWNSHIP,WELL NAME,WELL NUMBER,OIL,GAS,BRINE
34013205830000,2020,DIVERSIFIED PRODUCTION LLC,BELMONT,WASHINGTON,BOAN/MARCUM     2-1,2-1,0,0,0
34013206190000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,RICHLAND,PORTERFIELD GAS UNIT B     1H-17,1H-17,0,0,0
34013206200000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,RICHLAND,PORTERFIELD GAS UNIT A     1H-17,1H-17,0,0,0
34013206530000,2020,XTO ENERGY INC.,BELMONT,MEAD,KALDOR     2H,2H,240,6923,225
34013206540100,2020,XTO ENERGY INC.,BELMONT,MEAD,KALDOR     1H,1H,0,147097,2511
34013206570100,2020,GULFPORT APPALACHIA LLC,BELMONT,KIRKWOOD,SHUGERT     1-1H,1-1H,0,123035,830
34013206580100,2020,GULFPORT APPALACHIA LLC,BELMONT,WARREN,SHUGERT     1-12H,1-12H,54,288690,4380
34013206600100,2020,ASCENT RESOURCES UTICA LLC,BELMONT,WHEELING,CAPSTONE HOLDINGS     2H-9,2H-9,0,193272,871
34013206610000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,RICHLAND,PORTERFIELD GAS UNIT C     1H-17,1H-17,0,255755,2222
34013206680100,2020,ASCENT RESOURCES UTICA LLC,BELMONT,UNION,BEDWAY N UNN BL     1H,1H,0,268040,1771
34013206700100,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,STUTZMAN     1-14H,1-14H,0,285406,2692
34013206720000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,MCCORT     1-28H,1-28H,0,330479,3279
34013206730000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,WHEELING,CAPSTONE HOLDINGS     3H-9,3H-9,0,353066,1589
34013206740000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,BOLTON     1-29H,1-29H,0,253106,1736
34013206750100,2020,GULFPORT APPALACHIA LLC,BELMONT,WASHINGTON,IRONS     1-4H,1-4H,0,164920,2837
34013206770000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,MCCORT     2-28H,2-28H,0,351752,3431
34013206790000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,RICHLAND,LUDE # 1H-34,1H-34,0,439562,2970
34013206800000,2020,GULFPORT APPALACHIA LLC,BELMONT,WASHINGTON,IRONS     2-4H,2-4H,0,138846,1282
34013206810000,2020,GULFPORT APPALACHIA LLC,BELMONT,UNION,EAGLE CREEK     1-26H,1-26H,0,284309,1896
34013206820000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,MCCORT     3-28H,3-28H,0,329312,3577
34013206830000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,INHERST     2-14H,2-14H,0,373369,5074
34013206840000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,INHERST     1-14H,1-14H,0,364391,6402
34013206850000,2020,GULFPORT APPALACHIA LLC,BELMONT,UNION,EAGLE CREEK     2-26H,2-26H,0,406413,1199
34013206870000,2020,GULFPORT APPALACHIA LLC,BELMONT,UNION,EAGLE CREEK     3-26H,3-26H,0,357730,2505
34013206880000,2020,GULFPORT APPALACHIA LLC,BELMONT,KIRKWOOD,SHUGERT     3-1H,3-1H,0,364305,907
34013206890000,2020,GULFPORT APPALACHIA LLC,BELMONT,KIRKWOOD,SHUGERT     2-1H,2-1H,0,203263,835
34013206900000,2020,GULFPORT APPALACHIA LLC,BELMONT,WARREN,SHUGERT     3-12H,3-12H,20,478518,3792
34013206910000,2020,GULFPORT APPALACHIA LLC,BELMONT,WARREN,SHUGERT     2-12H,2-12H,28,131154,1460
34013206930000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,INHERST     3-14H,3-14H,0,668620,8626
34013206960000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,MCCORT     4-28H,4-28H,0,457399,4173
34013206970000,2020,GULFPORT APPALACHIA LLC,BELMONT,WARREN,SHUGERT     4-12H,4-12H,88,537148,2499
34013206990000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,STUTZMAN     3-14H,3-14H,0,475270,7906
34013207030000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,BOLTON # 3-29H,3-29H,0,380802,1119
34013207040000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,BOLTON     2-29H,2-29H,0,241304,2056
34013207050000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,KIRKWOOD,ALABROSS KKW BL     6H,6H,506,70611,1054
34013207060000,2020,GULFPORT APPALACHIA LLC,BELMONT,KIRKWOOD,SHUGERT     4-1H,4-1H,0,152794,813
34013207070000,2020,GULFPORT APPALACHIA LLC,BELMONT,UNION,FAMILY     3-32H,3-32H,0,314534,1481
34013207080000,2020,GULFPORT APPALACHIA LLC,BELMONT,UNION,FAMILY     2-32H,2-32H,0,175757,842
34013207090000,2020,GULFPORT APPALACHIA LLC,BELMONT,UNION,FAMILY     1-32H,1-32H,0,386818,1760
34013207110000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,KIRKWOOD,ALBATROSS KKW BL     2H,2H,474,60534,1013
34013207120000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,KIRKWOOD,ALBATROSS KKW BL     4H,4H,1184,147809,2471
34013207130000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,KIRKWOOD,ALABTROSS KKW BL     8H,8H,786,109390,1658
34013207150000,2020,RICE DRILLING D LLC,BELMONT,SMITH,BIGFOOT     9H,9H,0,1054581,15958
34013207160000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,WESLEY     2-8H,2-8H,7,458904,5877
34013207170000,2020,GULFPORT APPALACHIA LLC,BELMONT,SOMERSET,WESLEY     1-8H,1-8H,6,489065,5068
34013207190000,2020,ASCENT RESOURCES UTICA LLC,BELMONT,WARREN,AXLE WRN BL     1H,1H,0,290035,3638
34013207210000,2020,RICE DRILLING D LLC,BELMONT,SMITH,BLUE THUNDER     10H,10H,0,787022,11149
34013207220000,2020,RICE DRILLING D LLC,BELMONT,SMITH,BLUE THUNDER     12H,12H,0,325246,4782
